order_id,customer_id,order_date,product_id,quantity,total_price,status,shipping_cost,payment_method
20000,10764,2023-03-24,122,2,1863.0,Returned,23.92,Credit Card
20001,11090,2023-10-27,408,7,1442.23,Shipped,27.57,Debit Card
20002,10175,2023-07-01,460,5,571.83,Cancelled,33.37,PayPal
20003,10509,2023-09-13,85,2,1372.5,Returned,4.19,Bank Transfer
20004,11638,2023-11-24,106,1,401.62,Cancelled,38.0,Credit Card
20005,11114,2023-10-27,400,9,679.75,Shipped,46.01,Bank Transfer
20006,10704,2023-06-08,356,8,1520.64,Cancelled,12.79,PayPal
20007,11189,2023-09-08,99,2,1704.25,Processing,19.02,PayPal
20008,10601,2023-05-24,9,2,845.2,Processing,37.19,Debit Card
20009,10837,2023-07-06,6,3,1056.41,Processing,12.42,PayPal
20010,11850,2023-01-20,108,4,784.54,Returned,27.11,PayPal
20011,11001,2023-10-12,449,9,969.01,Returned,33.0,Bank Transfer
20012,11803,2023-01-31,462,6,1034.73,Completed,43.96,Bank Transfer
20013,11461,2023-11-20,152,3,1389.83,Completed,17.27,Credit Card
20014,10050,2023-10-16,394,8,1506.04,Cancelled,24.63,Credit Card
20015,11701,2023-11-28,338,6,1950.53,Shipped,9.23,Credit Card
20016,10685,2023-09-16,237,8,886.55,Shipped,15.38,Bank Transfer
20017,11762,2023-11-12,457,2,184.62,Cancelled,4.75,Debit Card
20018,10265,2023-08-20,27,8,1382.57,Cancelled,9.88,PayPal
20019,11544,2023-03-03,119,5,1006.58,Shipped,17.31,Debit Card
20020,11110,2023-08-27,211,4,1685.22,Returned,21.21,Debit Card
20021,10605,2023-04-29,100,3,310.16,Shipped,35.34,Debit Card
20022,11075,2023-11-30,3,9,1296.93,Completed,22.92,PayPal
20023,11202,2023-04-23,294,7,929.33,Cancelled,2.45,Credit Card
20024,11301,2023-02-15,457,7,850.22,Completed,37.79,Debit Card
20025,11262,2023-06-22,330,6,1138.43,Processing,26.64,PayPal
20026,10584,2023-09-11,329,9,1374.68,Shipped,46.97,PayPal
20027,10338,2023-02-18,17,3,1704.84,Returned,31.76,Bank Transfer
20028,11095,2023-08-06,106,1,485.52,Processing,26.7,Credit Card
20029,10373,2023-01-19,230,7,600.33,Shipped,14.72,Debit Card
20030,10579,2023-05-23,304,9,1106.19,Returned,11.82,Credit Card
20031,10516,2023-03-30,177,6,706.18,Returned,11.5,Bank Transfer
20032,11874,2023-07-15,427,2,1145.32,Shipped,20.36,PayPal
20033,11261,2023-02-12,84,8,416.3,Completed,8.57,Bank Transfer
20034,11489,2023-05-16,263,9,629.14,Completed,42.21,Credit Card
20035,10120,2023-05-10,196,8,663.19,Returned,40.26,Bank Transfer
20036,11436,2023-08-18,249,9,1984.79,Shipped,36.44,PayPal
20037,11746,2023-02-14,382,1,1711.61,Processing,2.44,Bank Transfer
20038,11797,2023-08-02,458,3,1678.65,Cancelled,3.6,Debit Card
20039,10836,2023-06-20,149,3,1036.87,Processing,31.82,PayPal
20040,10569,2023-01-19,206,9,944.36,Shipped,37.45,Credit Card
20041,10042,2023-05-16,409,3,158.85,Processing,1.34,Credit Card
20042,11527,2023-05-15,81,1,410.71,Completed,14.53,Debit Card
20043,11220,2023-02-23,189,3,1792.79,Cancelled,6.81,Credit Card
20044,10071,2023-07-09,412,2,1060.77,Returned,11.56,PayPal
20045,10090,2023-04-05,206,9,1975.13,Cancelled,25.92,Debit Card
20046,11572,2023-08-09,308,1,1191.74,Returned,5.46,Credit Card
20047,10490,2023-05-14,269,2,767.42,Shipped,11.49,Bank Transfer
20048,11849,2023-05-26,290,1,562.74,Completed,28.25,PayPal
20049,10748,2023-06-26,383,9,1838.35,Returned,25.41,Bank Transfer
20050,10997,2023-12-16,361,7,754.05,Returned,42.88,Bank Transfer
20051,10382,2023-12-04,451,1,309.36,Shipped,7.53,Credit Card
20052,10804,2023-09-14,388,6,570.95,Returned,18.49,Credit Card
20053,11489,2023-11-21,300,5,1298.33,Cancelled,46.22,Debit Card
20054,11177,2023-03-15,382,5,283.36,Shipped,39.79,Debit Card
20055,10169,2023-11-03,255,4,201.3,Completed,29.87,Credit Card
20056,11295,2023-08-01,399,3,926.1,Completed,38.45,Debit Card
20057,10917,2023-11-02,468,8,185.63,Shipped,22.42,Credit Card
20058,11133,2023-05-27,8,7,798.02,Completed,45.53,Debit Card
20059,10150,2023-07-08,114,5,659.0,Shipped,29.98,Debit Card
20060,10430,2023-05-12,5,9,795.12,Returned,34.78,PayPal
20061,10450,2023-02-14,450,7,985.82,Shipped,32.6,Debit Card
20062,10642,2023-12-04,476,2,386.95,Returned,33.64,Bank Transfer
20063,10779,2023-12-11,342,7,896.0,Returned,32.05,Debit Card
20064,10022,2023-10-21,73,7,735.81,Returned,3.69,Credit Card
20065,10366,2023-02-28,348,4,1595.04,Shipped,30.19,Debit Card
20066,10650,2023-04-23,121,8,1395.48,Returned,39.17,Credit Card
20067,10819,2023-08-26,302,4,1747.63,Returned,0.02,Debit Card
20068,10238,2023-10-13,449,7,1344.64,Completed,44.58,Bank Transfer
20069,10433,2023-01-23,372,4,259.75,Completed,47.61,Credit Card
20070,11976,2023-05-11,484,8,1024.01,Processing,6.41,Debit Card
20071,10703,2023-11-01,369,3,1490.09,Completed,26.75,Credit Card
20072,11150,2023-09-17,234,2,1686.52,Processing,5.53,Bank Transfer
20073,10941,2023-09-06,66,6,378.93,Returned,14.15,Bank Transfer
20074,10540,2023-08-08,230,7,462.54,Processing,31.07,Debit Card
20075,10632,2023-03-11,410,7,1727.24,Processing,15.14,Credit Card
20076,10197,2023-01-11,31,6,981.1,Cancelled,18.28,Debit Card
20077,11709,2023-11-05,307,8,915.8,Cancelled,37.31,Bank Transfer
20078,11679,2023-04-07,297,6,998.35,Completed,28.75,PayPal
20079,10481,2023-10-08,51,6,363.2,Cancelled,25.9,PayPal
20080,11202,2023-04-09,147,3,1262.72,Returned,16.21,Credit Card
20081,10868,2023-08-16,95,2,1619.79,Completed,35.21,PayPal
20082,10522,2023-05-07,329,7,1677.38,Cancelled,21.2,Bank Transfer
20083,10650,2023-11-01,387,6,80.15,Returned,44.94,Credit Card
20084,10958,2023-07-20,38,1,1436.07,Completed,30.08,Credit Card
20085,10436,2023-06-16,198,2,200.62,Shipped,26.92,Bank Transfer
20086,11788,2023-03-26,241,2,1934.4,Completed,40.16,Debit Card
20087,10856,2023-06-09,173,1,974.84,Processing,24.27,Credit Card
20088,10313,2023-03-30,493,3,1555.32,Completed,13.96,Debit Card
20089,10018,2023-09-01,256,5,1251.28,Completed,7.75,Bank Transfer
20090,11183,2023-12-10,455,4,1904.83,Processing,28.09,Bank Transfer
20091,10817,2023-08-02,41,2,1947.84,Processing,21.24,PayPal
20092,10121,2023-01-02,409,8,572.18,Cancelled,19.87,PayPal
20093,10071,2023-12-27,473,9,976.08,Returned,17.47,Credit Card
20094,11078,2023-09-06,434,8,1018.4,Completed,33.58,Debit Card
