sale_id,date,product,quantity,unit_price,region,sales_channel,customer_id,discount_percent,total_amount
5001,2023-05-04,Monitor,5,15,East,Wholesale,11421,15.0,63.75
5002,2023-05-16,Smartphone,7,199,South,Wholesale,11368,15.0,1184.05
5003,2023-04-16,Tablet,2,79,Central,Online,11607,5.0,150.1
5004,2023-04-28,Smartphone,11,79,Central,Online,10746,0.0,869.0
5005,2023-04-14,Speaker,13,399,South,Online,10835,15.0,4408.95
5006,2023-05-08,Tablet,5,29,East,Direct,11691,5.0,137.75
5007,2023-11-13,Laptop,6,699,Central,Retail,10454,5.0,3984.2999999999997
5008,2023-07-02,Charger,14,399,East,Online,11929,5.0,5306.7
5009,2023-03-21,Webcam,12,19,East,Retail,11138,5.0,216.6
5010,2023-02-24,Laptop,4,29,West,Direct,10312,5.0,110.19999999999999
5011,2023-03-03,Tablet,6,79,North,Retail,11017,0.0,474.0
5012,2023-02-10,Headphones,10,99,West,Online,10227,15.0,841.5
5013,2023-12-13,Smartphone,18,15,West,Direct,10833,5.0,256.5
5014,2023-12-06,Mouse,15,299,West,Retail,10857,5.0,4260.75
5015,2023-09-10,Monitor,8,15,South,Wholesale,11268,0.0,120.0
5016,2023-11-11,Headphones,9,19,South,Retail,10817,0.0,171.0
5017,2023-01-04,Headphones,5,199,West,Wholesale,11549,0.0,995.0
5018,2023-10-05,Monitor,10,299,East,Wholesale,11017,10.0,2691.0
5019,2023-01-22,Speaker,6,19,South,Retail,10527,0.0,114.0
5020,2023-09-04,Smartphone,16,15,North,Online,10949,15.0,204.0
5021,2023-07-10,Webcam,3,299,Central,Wholesale,10426,0.0,897.0
5022,2023-11-14,Laptop,10,299,East,Direct,10041,0.0,2990.0
5023,2023-06-11,Keyboard,11,49,East,Online,10464,0.0,539.0
5024,2023-09-10,Speaker,11,29,East,Direct,11645,0.0,319.0
5025,2023-10-22,Laptop,17,15,Central,Direct,10277,10.0,229.5
5026,2023-05-21,Tablet,4,399,West,Wholesale,10835,15.0,1356.6
5027,2023-09-09,Keyboard,4,199,Central,Online,10018,10.0,716.4
5028,2023-04-04,Mouse,17,49,North,Wholesale,10065,0.0,833.0
5029,2023-09-19,Mouse,9,19,South,Online,10166,0.0,171.0
5030,2023-05-24,Tablet,19,29,West,Online,11608,5.0,523.4499999999999
5031,2023-07-23,Smartphone,5,99,Central,Online,11019,20.0,396.0
5032,2023-04-24,Tablet,6,79,Central,Retail,10402,0.0,474.0
5033,2023-10-23,Speaker,3,49,West,Online,11935,10.0,132.3
5034,2023-03-07,Mouse,1,19,North,Retail,11845,5.0,18.05
5035,2023-01-28,Webcam,16,29,South,Wholesale,10408,0.0,464.0
5036,2023-09-27,Smartphone,11,19,Central,Wholesale,10111,5.0,198.54999999999998
5037,2023-08-05,Mouse,13,399,South,Retail,11297,0.0,5187.0
5038,2023-09-02,Headphones,10,49,West,Wholesale,11430,10.0,441.0
5039,2023-10-04,Tablet,3,399,North,Online,11396,0.0,1197.0
5040,2023-01-17,Headphones,9,49,South,Retail,10596,10.0,396.90000000000003
5041,2023-09-15,Monitor,12,199,North,Retail,10650,0.0,2388.0
5042,2023-06-27,Mouse,14,399,East,Online,11062,20.0,4468.8
5043,2023-07-21,Webcam,1,699,South,Online,10104,0.0,699.0
5044,2023-12-18,Tablet,18,299,Central,Direct,10323,15.0,4574.7
5045,2023-03-31,Charger,17,99,West,Online,11816,15.0,1430.55
5046,2023-08-23,Charger,9,19,Central,Wholesale,11982,20.0,136.8
5047,2023-03-03,Monitor,9,299,West,Direct,10991,5.0,2556.45
5048,2023-12-24,Charger,10,399,North,Online,11437,10.0,3591.0
5049,2023-09-23,Headphones,19,99,South,Retail,10428,0.0,1881.0
5050,2023-08-24,Speaker,15,29,West,Direct,10634,0.0,435.0
5051,2023-06-11,Webcam,5,699,East,Retail,10729,5.0,3320.25
5052,2023-12-19,Monitor,15,29,South,Online,10888,0.0,435.0
5053,2023-01-05,Headphones,2,29,Central,Direct,11084,20.0,46.400000000000006
5054,2023-01-07,Laptop,13,49,Central,Online,11635,0.0,637.0
5055,2023-12-12,Tablet,16,49,Central,Online,11330,5.0,744.8
