response_id,customer_id,survey_date,overall_satisfaction,product_quality,customer_service,value_for_money,would_recommend,nps_score,comments
1,11288,2024-02-18,Dissatisfied,4,3,4,Yes,0.0,Average
2,11401,2024-05-23,Dissatisfied,1,1,1,No,3.0,Great!
3,10093,2024-02-21,Dissatisfied,1,2,4,No,2.0,Average
4,10622,2024-01-21,Dissatisfied,4,3,5,No,,Great!
5,11490,2024-01-05,Neutral,2,4,4,Yes,4.0,Good
6,10835,2024-02-03,Dissatisfied,3,5,2,Yes,0.0,Great!
7,10947,2024-06-10,Neutral,2,2,3,No,1.0,
8,10847,2024-03-20,Dissatisfied,2,1,1,Yes,10.0,
9,10714,2024-03-22,Dissatisfied,4,4,3,Yes,7.0,Could be better
10,10764,2024-04-10,Dissatisfied,2,2,3,Yes,0.0,Could be better
11,11016,2024-01-30,Very Dissatisfied,3,5,1,No,9.0,Could be better
12,10284,2024-02-06,Very Satisfied,4,2,2,No,3.0,Could be better
13,11058,2024-03-28,Very Dissatisfied,3,5,5,Yes,3.0,Average
14,10277,2024-03-15,Very Satisfied,1,2,2,No,8.0,
15,10681,2024-02-27,Very Satisfied,3,3,3,Yes,9.0,
16,11053,2024-03-02,Neutral,5,2,1,No,8.0,Average
17,11782,2024-04-27,Neutral,5,5,2,Yes,8.0,Could be better
18,10315,2024-03-11,Very Satisfied,2,2,3,No,4.0,
19,11413,2024-04-22,Satisfied,2,3,4,Yes,2.0,
20,10315,2024-05-23,Very Satisfied,4,5,1,Yes,8.0,Could be better
21,10735,2024-06-01,Very Satisfied,5,2,4,Yes,7.0,
22,10200,2024-06-21,Neutral,5,3,3,No,3.0,
23,10743,2024-05-03,Neutral,2,4,3,No,0.0,Great!
24,10952,2024-05-27,Satisfied,2,4,3,No,,Could be better
25,10664,2024-05-02,Neutral,3,3,1,Yes,4.0,
26,11079,2024-03-12,Very Satisfied,1,2,4,Yes,0.0,Could be better
27,11544,2024-04-28,Neutral,2,1,2,Yes,,Could be better
28,10895,2024-04-11,Satisfied,2,1,2,No,1.0,Good
29,11359,2024-06-01,Very Dissatisfied,5,3,5,No,8.0,Good
30,10741,2024-01-02,Very Satisfied,4,5,2,No,4.0,Average
31,10738,2024-05-25,Very Dissatisfied,4,1,4,No,6.0,
32,10678,2024-06-04,Dissatisfied,2,5,4,No,4.0,Average
33,11768,2024-04-03,Satisfied,3,2,5,No,9.0,
34,10006,2024-01-19,Satisfied,5,5,5,Yes,1.0,
35,11864,2024-03-08,Satisfied,4,5,3,No,7.0,
36,10822,2024-06-09,Dissatisfied,3,4,4,No,4.0,Could be better
37,10058,2024-04-04,Very Satisfied,5,2,3,Yes,9.0,
38,11002,2024-05-01,Neutral,2,5,3,Yes,6.0,
39,11162,2024-04-25,Satisfied,2,2,2,No,3.0,
40,10126,2024-06-13,Very Dissatisfied,3,5,3,No,10.0,Great!
41,11218,2024-04-16,Very Satisfied,5,3,5,Yes,4.0,
42,10027,2024-05-10,Very Satisfied,1,2,3,No,10.0,Average
43,10272,2024-01-22,Neutral,2,3,4,Yes,10.0,Average
44,10753,2024-04-04,Very Satisfied,3,1,4,No,9.0,Great!
45,10509,2024-04-02,Neutral,3,1,3,No,2.0,
46,10638,2024-05-07,Satisfied,1,5,5,Yes,7.0,Could be better
47,11628,2024-06-21,Neutral,5,4,3,No,1.0,Could be better
48,11243,2024-03-14,Very Satisfied,1,3,4,Yes,6.0,Average
49,10571,2024-03-25,Very Dissatisfied,2,2,2,No,9.0,
50,11005,2024-06-07,Very Dissatisfied,2,5,4,No,8.0,Great!
51,10266,2024-02-23,Neutral,5,5,4,Yes,5.0,Could be better
52,11398,2024-03-27,Very Satisfied,1,1,2,Yes,6.0,
53,10529,2024-04-06,Satisfied,4,5,1,No,3.0,
54,11271,2024-02-23,Very Dissatisfied,2,2,4,Yes,3.0,
55,11110,2024-05-05,Dissatisfied,5,2,4,No,7.0,Average
56,11912,2024-06-28,Very Dissatisfied,1,4,2,Yes,8.0,Average
57,10753,2024-04-15,Dissatisfied,4,2,3,No,9.0,Average
58,11292,2024-03-11,Satisfied,5,1,1,No,0.0,
59,10237,2024-02-19,Very Satisfied,4,5,1,Yes,10.0,Could be better
60,11095,2024-03-01,Very Satisfied,3,4,4,No,10.0,Could be better
61,10971,2024-03-20,Very Satisfied,2,3,5,Yes,7.0,Could be better
62,10472,2024-04-10,Dissatisfied,2,3,2,Yes,3.0,Could be better
63,10419,2024-04-28,Very Satisfied,3,5,4,No,8.0,Great!
64,10681,2024-01-18,Satisfied,1,4,2,Yes,7.0,Could be better
65,11781,2024-02-01,Neutral,4,3,1,No,5.0,Average
66,10295,2024-01-09,Very Satisfied,1,2,5,No,6.0,Good
67,11487,2024-03-28,Neutral,3,1,5,No,9.0,Could be better
68,10150,2024-04-14,Dissatisfied,5,5,5,No,2.0,Could be better
69,11235,2024-05-18,Very Dissatisfied,5,2,3,No,7.0,
70,11376,2024-06-17,Very Satisfied,1,2,1,No,8.0,Great!
71,10325,2024-01-16,Neutral,4,2,1,Yes,0.0,Average
72,11357,2024-04-14,Very Dissatisfied,1,3,3,No,0.0,Average
73,11456,2024-04-21,Dissatisfied,1,1,2,Yes,10.0,Average
