session_id,timestamp,user_id,page,time_spent_seconds,device,browser,country,is_bounce,conversion
1,2024-12-28 02:10:27,14817,/checkout,92,Tablet,Firefox,USA,False,False
2,2024-03-31 03:04:06,12667,/checkout,245,Desktop,Chrome,USA,False,False
3,2024-09-20 03:28:10,12388,/contact,226,Desktop,Firefox,France,False,False
4,2024-11-27 18:46:26,11091,/about,466,Desktop,Chrome,UK,True,False
5,2024-12-03 23:15:54,12417,/register,318,Mobile,Safari,Canada,False,False
6,2024-11-28 08:18:01,11121,/cart,128,Mobile,Edge,UK,False,False
7,2024-12-23 08:08:25,12017,/cart,386,Desktop,Firefox,France,False,False
8,2024-05-10 18:29:17,12211,/login,260,Desktop,Firefox,France,True,False
9,2024-07-24 17:52:39,12916,/products,260,Tablet,Other,Australia,True,False
10,2024-06-15 18:03:21,10601,/register,97,Desktop,Other,Australia,True,False
11,2024-02-22 22:13:38,13146,/home,504,Mobile,Safari,France,False,False
12,2024-03-24 05:45:10,11052,/cart,502,Tablet,Firefox,UK,False,False
13,2024-04-16 05:49:50,10522,/contact,88,Tablet,Chrome,Australia,True,False
14,2024-12-01 08:44:42,12265,/contact,204,Desktop,Firefox,Australia,True,False
15,2024-02-24 23:55:37,14213,/login,220,Mobile,Edge,Australia,True,False
16,2024-09-11 23:41:22,11210,/register,452,Tablet,Firefox,Australia,False,False
17,2024-02-20 23:20:09,14351,/cart,8,Tablet,Safari,France,False,False
18,2024-03-29 10:15:52,10212,/products,526,Mobile,Other,Australia,False,False
19,2024-11-16 02:57:20,14167,/about,210,Mobile,Other,Australia,False,False
20,2024-04-23 06:58:57,11833,/about,78,Desktop,Chrome,Australia,True,False
21,2024-12-18 20:30:59,12870,/about,483,Desktop,Safari,Germany,False,False
22,2024-10-22 18:03:07,13025,/cart,478,Mobile,Chrome,France,False,False
23,2024-02-20 22:11:35,11285,/contact,473,Desktop,Safari,UK,True,False
24,2024-02-25 23:43:55,11300,/cart,82,Desktop,Chrome,France,True,False
25,2024-06-11 06:04:17,10759,/blog,43,Tablet,Edge,UK,True,False
26,2024-04-27 07:48:46,12479,/checkout,202,Mobile,Safari,Germany,False,False
27,2024-01-30 13:39:13,12979,/blog,404,Desktop,Other,USA,False,False
28,2024-01-07 11:16:47,10209,/home,328,Tablet,Firefox,USA,False,False
29,2024-02-17 05:30:33,10892,/home,142,Tablet,Safari,Germany,False,False
30,2024-04-10 09:46:30,11242,/cart,365,Mobile,Chrome,Canada,True,False
31,2024-09-03 23:02:03,14012,/blog,529,Desktop,Safari,Germany,True,False
32,2024-04-16 16:11:31,11978,/products,303,Mobile,Chrome,Canada,True,False
33,2024-11-06 18:29:02,13155,/checkout,121,Mobile,Other,France,False,False
34,2024-02-24 19:19:51,12582,/products,528,Desktop,Safari,USA,False,False
35,2024-03-15 16:23:36,11403,/home,127,Mobile,Chrome,Canada,True,False
36,2024-12-13 05:16:20,14088,/checkout,484,Tablet,Safari,Australia,True,False
37,2024-01-03 02:09:46,11115,/register,342,Desktop,Other,UK,True,False
38,2024-05-21 02:00:02,11720,/register,250,Desktop,Chrome,UK,True,False
39,2024-05-27 23:28:15,10420,/blog,307,Mobile,Firefox,USA,True,False
40,2024-11-15 09:58:37,14175,/register,380,Mobile,Other,France,False,False
41,2024-05-31 15:34:25,14533,/blog,363,Tablet,Chrome,USA,True,False
42,2024-10-31 12:18:22,10233,/cart,579,Mobile,Chrome,Canada,False,False
43,2024-05-11 01:27:18,10309,/login,353,Tablet,Edge,France,True,True
44,2024-10-20 04:24:35,12053,/products,132,Tablet,Chrome,UK,False,False
45,2024-06-19 02:01:01,10801,/checkout,456,Tablet,Safari,UK,True,False
46,2024-06-24 12:53:31,14163,/blog,246,Mobile,Other,UK,True,False
47,2024-06-12 13:43:07,10524,/register,382,Tablet,Safari,Canada,False,False
48,2024-01-05 21:06:04,12760,/checkout,63,Desktop,Other,France,False,False
49,2024-10-09 17:24:06,12000,/login,41,Tablet,Firefox,France,True,False
50,2024-10-24 01:38:38,10421,/about,590,Mobile,Other,Australia,False,False
51,2024-06-05 20:01:51,12765,/register,488,Desktop,Firefox,France,False,True
52,2024-02-11 22:55:01,10228,/blog,112,Tablet,Other,UK,False,False
53,2024-09-02 13:20:17,12974,/contact,115,Tablet,Edge,UK,True,False
54,2024-09-04 17:17:06,13437,/home,528,Tablet,Chrome,Germany,True,False
55,2024-02-28 18:18:19,11490,/register,405,Tablet,Edge,France,False,False
56,2024-05-18 17:00:03,10722,/products,495,Tablet,Edge,Canada,True,False
57,2024-02-18 06:14:24,10827,/about,243,Desktop,Other,Germany,True,False
58,2024-07-07 17:33:59,13062,/products,598,Tablet,Other,Australia,True,False
59,2024-04-10 05:30:30,12316,/blog,476,Desktop,Edge,Germany,True,False
60,2024-04-02 11:14:16,11118,/login,165,Desktop,Firefox,UK,True,False
61,2024-04-27 04:55:11,14267,/contact,400,Mobile,Other,USA,False,False
62,2024-03-07 23:35:39,10994,/login,166,Desktop,Edge,UK,False,False
63,2024-02-18 10:28:00,13465,/products,199,Desktop,Chrome,Germany,True,False
64,2024-01-11 21:19:12,11996,/about,417,Mobile,Safari,Australia,False,False
65,2024-07-29 06:39:21,10958,/blog,137,Tablet,Safari,USA,True,False
66,2024-04-30 20:20:37,13394,/contact,554,Mobile,Chrome,Canada,False,False
67,2024-04-01 01:44:11,14345,/login,537,Desktop,Chrome,Canada,True,False
68,2024-08-27 16:32:36,11946,/login,63,Mobile,Edge,Germany,True,False
69,2024-07-27 08:53:05,12833,/about,47,Tablet,Chrome,Canada,False,False
70,2024-11-19 09:18:26,11058,/login,236,Desktop,Chrome,France,False,False
71,2024-07-17 19:48:24,14476,/contact,322,Mobile,Chrome,UK,False,False
72,2024-12-27 22:15:29,13681,/home,171,Desktop,Edge,Germany,True,False
73,2024-08-06 14:53:54,10638,/products,198,Tablet,Chrome,USA,True,False
74,2024-12-09 02:24:12,12043,/checkout,519,Mobile,Safari,Canada,False,False
75,2024-03-18 15:25:42,14818,/home,377,Tablet,Firefox,Canada,False,False
76,2024-09-28 02:33:26,13626,/register,234,Desktop,Edge,USA,False,False
77,2024-08-08 05:49:26,10239,/cart,343,Desktop,Edge,UK,False,False
78,2024-01-11 08:43:09,12871,/home,367,Mobile,Other,Germany,True,False
79,2024-04-06 16:12:23,12202,/login,465,Mobile,Other,France,True,False
80,2024-09-30 19:30:25,11171,/home,424,Mobile,Other,Australia,True,False
81,2024-02-08 22:38:49,10717,/register,350,Tablet,Firefox,Germany,False,False
82,2024-06-18 01:00:23,14920,/cart,476,Tablet,Edge,USA,False,False
83,2024-08-22 19:58:24,13824,/products,595,Desktop,Edge,Australia,False,False
84,2024-06-08 23:18:02,11140,/login,574,Desktop,Other,Canada,True,False
85,2024-04-11 11:21:28,14203,/blog,172,Desktop,Chrome,Canada,True,False
86,2024-05-31 09:02:46,10038,/login,560,Tablet,Other,UK,False,False
87,2024-06-16 17:58:44,11577,/cart,384,Tablet,Chrome,UK,False,False
88,2024-07-19 19:33:37,12781,/products,103,Tablet,Edge,Canada,True,False
89,2024-01-05 00:56:13,10047,/blog,472,Mobile,Firefox,USA,False,False
90,2024-10-24 08:14:44,12394,/products,323,Mobile,Other,Canada,False,False
91,2024-02-28 06:10:57,10834,/home,155,Tablet,Chrome,Germany,False,False
92,2024-11-16 18:15:25,13549,/about,584,Tablet,Edge,Australia,True,False
93,2024-11-18 12:55:23,14863,/login,524,Tablet,Chrome,Canada,False,False
94,2024-06-01 09:32:06,12852,/login,306,Tablet,Chrome,Canada,False,False
95,2024-09-15 05:17:13,10935,/register,406,Tablet,Chrome,USA,False,False
96,2024-12-01 20:17:05,13056,/register,411,Mobile,Chrome,USA,False,False
97,2024-10-11 00:02:29,10783,/cart,342,Desktop,Safari,Germany,False,True
98,2024-08-03 11:04:50,12991,/contact,41,Mobile,Edge,Germany,False,False
99,2024-07-03 15:40:10,14113,/contact,580,Desktop,Other,Australia,False,False
100,2024-04-23 09:17:24,13198,/blog,84,Mobile,Firefox,USA,True,False
101,2024-10-15 12:01:21,13403,/products,222,Tablet,Chrome,USA,True,False
102,2024-08-05 05:46:12,10809,/contact,86,Desktop,Firefox,Canada,True,False
103,2024-05-14 04:47:29,11753,/register,295,Tablet,Other,Canada,False,False
104,2024-02-13 02:03:50,10982,/products,24,Desktop,Firefox,France,True,False
105,2024-09-01 14:17:24,11083,/home,127,Desktop,Safari,France,True,False
106,2024-08-31 08:08:47,10959,/login,79,Mobile,Other,Germany,True,False
107,2024-02-09 21:31:49,11726,/register,579,Mobile,Chrome,France,True,False
108,2024-06-21 23:28:58,12819,/about,593,Desktop,Safari,Canada,False,False
109,2024-11-17 03:10:58,13695,/register,358,Tablet,Safari,USA,True,False
110,2024-12-09 00:34:47,10643,/contact,504,Mobile,Safari,Germany,False,False
111,2024-06-13 17:39:36,13678,/blog,331,Mobile,Edge,USA,False,False
112,2024-09-14 15:46:28,13895,/login,357,Tablet,Other,Australia,True,False
113,2024-10-04 01:58:25,10259,/blog,90,Desktop,Firefox,UK,False,False
114,2024-09-29 05:40:23,11155,/products,159,Mobile,Other,France,False,False
115,2024-06-14 20:10:16,13307,/about,428,Tablet,Firefox,Germany,True,False
116,2024-02-14 11:30:35,13842,/home,417,Tablet,Firefox,Australia,False,False
117,2024-02-27 05:34:03,12102,/login,356,Mobile,Chrome,Canada,True,False
118,2024-04-18 20:52:01,13780,/cart,498,Desktop,Edge,France,True,False
119,2024-07-09 22:15:52,11106,/login,187,Mobile,Firefox,UK,False,False
120,2024-11-07 06:14:22,14605,/home,329,Tablet,Chrome,UK,True,False
121,2024-11-05 17:55:51,13941,/contact,174,Mobile,Chrome,France,False,False
122,2024-09-22 16:37:36,13359,/about,299,Desktop,Firefox,UK,False,False
123,2024-05-25 21:26:45,11403,/products,375,Desktop,Safari,France,False,False
124,2024-12-23 17:07:19,13385,/checkout,211,Mobile,Chrome,Australia,False,False
125,2024-09-06 09:13:19,10456,/products,198,Desktop,Firefox,UK,False,False
126,2024-08-02 06:08:34,11214,/register,35,Desktop,Safari,USA,False,False
127,2024-05-06 14:28:38,12264,/products,226,Mobile,Chrome,Germany,True,False
128,2024-11-01 01:16:19,10244,/register,102,Tablet,Firefox,Germany,True,False
129,2024-09-25 06:29:13,14873,/checkout,243,Tablet,Safari,Germany,True,False
130,2024-08-15 11:21:50,13103,/contact,437,Mobile,Firefox,Canada,True,False
131,2024-06-26 03:35:03,14356,/login,33,Mobile,Edge,USA,True,False
132,2024-05-26 19:41:03,14252,/home,12,Tablet,Safari,UK,False,False
133,2024-06-14 08:26:39,13206,/products,565,Mobile,Other,Germany,False,False
134,2024-04-27 07:52:35,11793,/login,148,Tablet,Chrome,France,False,False
135,2024-10-31 18:55:07,10394,/checkout,93,Tablet,Safari,UK,False,False
136,2024-06-15 03:38:28,13124,/home,495,Mobile,Other,UK,False,False
137,2024-08-06 21:07:07,14407,/contact,448,Tablet,Other,Australia,False,False
138,2024-03-02 04:57:43,13257,/login,172,Tablet,Firefox,Canada,False,False
139,2024-12-23 03:07:57,14683,/about,421,Desktop,Safari,Australia,False,False
140,2024-06-17 03:57:13,10963,/about,491,Tablet,Firefox,Australia,True,False
141,2024-05-22 18:18:54,10603,/contact,7,Mobile,Chrome,USA,False,False
142,2024-08-20 06:03:14,10732,/checkout,17,Mobile,Other,France,False,False
143,2024-09-20 03:08:08,14094,/about,209,Tablet,Chrome,UK,False,False
144,2024-12-12 05:10:32,13494,/products,30,Mobile,Other,Germany,True,False
145,2024-09-05 00:24:13,11557,/cart,166,Tablet,Other,Australia,False,False
146,2024-01-16 14:07:49,13280,/checkout,293,Tablet,Other,Germany,True,False
147,2024-03-12 01:30:47,11499,/contact,347,Desktop,Chrome,Canada,False,False
148,2024-08-01 15:39:11,11468,/register,217,Mobile,Safari,Canada,False,False
149,2024-03-03 03:48:00,11915,/home,299,Tablet,Chrome,USA,False,False
150,2024-07-02 17:55:30,13396,/home,178,Mobile,Chrome,France,False,False
151,2024-11-22 21:00:59,10639,/login,463,Mobile,Chrome,USA,True,False
152,2024-06-25 16:22:20,11365,/about,469,Desktop,Other,Canada,False,False
153,2024-09-28 04:30:40,10272,/about,558,Mobile,Edge,Canada,False,False
154,2024-04-25 12:09:23,13772,/contact,133,Tablet,Safari,UK,True,False
155,2024-06-08 10:58:06,12475,/blog,327,Mobile,Edge,Canada,False,False
156,2024-08-26 15:44:16,10808,/cart,484,Desktop,Firefox,Australia,True,False
157,2024-10-19 06:08:20,13819,/login,493,Tablet,Other,Canada,True,False
158,2024-04-17 20:54:59,14329,/register,114,Desktop,Firefox,UK,True,False
159,2024-10-04 18:34:23,12919,/products,442,Desktop,Other,Germany,True,False
160,2024-07-30 13:41:09,11206,/checkout,113,Desktop,Other,France,True,False
161,2024-03-12 04:15:47,14186,/blog,24,Tablet,Firefox,Australia,False,False
162,2024-05-08 22:56:31,11132,/register,120,Mobile,Firefox,France,False,False
163,2024-10-04 06:20:28,10751,/cart,257,Desktop,Other,Australia,True,False
164,2024-04-22 23:51:22,10504,/blog,249,Desktop,Edge,Canada,True,False
165,2024-11-08 00:18:24,10178,/checkout,124,Tablet,Chrome,UK,False,False
166,2024-05-01 17:23:27,10807,/about,206,Tablet,Firefox,Australia,True,False
167,2024-06-30 16:19:52,12144,/about,455,Tablet,Other,Germany,True,False
168,2024-05-27 04:58:05,10208,/blog,390,Mobile,Chrome,France,True,False
169,2024-04-04 10:57:41,13959,/home,116,Desktop,Other,Canada,False,False
170,2024-04-24 08:22:58,10043,/checkout,567,Desktop,Firefox,Australia,False,False
171,2024-04-24 12:47:03,14841,/about,239,Tablet,Other,Australia,True,False
172,2024-11-11 02:48:05,12183,/products,537,Tablet,Other,UK,False,False
173,2024-06-24 14:35:00,12723,/login,193,Mobile,Firefox,USA,False,False
174,2024-09-16 10:23:51,11975,/about,20,Mobile,Firefox,Germany,False,False
